FFTout-format-1.1.1-localtime.csv,,,Created,05/10/15,Time Zn,UT-4,
KHz
,-984.37500,-968.75000,-953.12500,-937.50000,-921.87500,-906.25000,-890.62500,-875.00000,-859.37500,-843.75000,-828.12500,-812.50000,-796.87500,-781.25000,-765.62500,-750.00000,-734.37500,-718.75000,-703.12500,-687.50000,-671.87500,-656.25000,-640.62500,-625.00000,-609.37500,-593.75000,-578.12500,-562.50000,-546.87500,-531.25000,-515.62500,-500.00000,-484.37500,-468.75000,-453.12500,-437.50000,-421.87500,-406.25000,-390.62500,-375.00000,-359.37500,-343.75000,-328.12500,-312.50000,-296.87500,-281.25000,-265.62500,-250.00000,-234.37500,-218.75000,-203.12500,-187.50000,-171.87500,-156.25000,-140.62500,-125.00000,-109.37500,-93.75000,-78.12500,-62.50000,-46.87500,-31.25000,-15.62500,0.00000,15.62500,31.25000,46.87500,62.50000,78.12500,93.75000,109.37500,125.00000,140.62500,156.25000,171.87500,187.50000,203.12500,218.75000,234.37500,250.00000,265.62500,281.25000,296.87500,312.50000,328.12500,343.75000,359.37500,375.00000,390.62500,406.25000,421.87500,437.50000,453.12500,468.75000,484.37500,500.00000,515.62500,531.25000,546.87500,562.50000,578.12500,593.75000,609.37500,625.00000,640.62500,656.25000,671.87500,687.50000,703.12500,718.75000,734.37500,750.00000,765.62500,781.25000,796.87500,812.50000,828.12500,843.75000,859.37500,875.00000,890.62500,906.25000,921.87500,937.50000,953.12500,968.75000,984.37500
09:09:37:215,1.32,1.32,2.27,1.91,2.83,3.56,6.69,10.5,12.6,14.3,15.6,16.4,17.3,16.5,16.2,17.5,16.4,16.2,17,16.7,17.3,18.4,17.1,17.2,16,18.3,17.6,16.8,16.4,16.6,16.9,16.8,17.4,16.6,17.4,17.1,17.7,17.1,17.8,16.6,16.8,18.1,17,17.6,16.6,17.2,17.4,17,17.4,17.1,17,17,17.9,16.3,17.3,16.2,17.2,16.2,17.3,16.7,16.3,17.3,16.9,17,17.2,16.7,16.4,17,17.6,18.3,17.4,16.4,16.6,16.9,16.8,17.3,16.8,17.1,16.8,16.9,17.2,17.3,16.5,17.9,17.4,18.4,16.7,17.3,17.6,16.5,16.9,16.4,17.6,16.9,17.3,16.3,15.7,16.9,16.6,15.8,16.3,17.1,16.7,16.7,17,17.1,17.5,16,16.1,17.3,16.3,16.1,17.5,17,16.8,16.5,17.1,16.4,13.9,11.7,9.63,6.49,6.11,3.63,3.2,1.9,1.25,
09:09:37:277,1.27,1.27,2.2,1.89,2.94,3.65,6.59,10.7,12.5,14.1,15.5,16.6,17.3,16.4,16.3,17.5,16.1,16.5,16.8,16.6,16.9,18.3,17.3,17,15.9,18.4,17.6,16.8,16.4,16.5,16.7,16.8,17.4,16.6,17.6,17.2,17.7,17.1,17.7,16.6,16.9,18,17,17.5,16.7,17,17.5,17.4,17.2,17.3,16.9,16.9,17.7,16.6,17,16.2,17.1,16.3,17.4,17,16.7,17.3,16.9,17.1,17.3,16.7,16.6,17.1,17.7,18.3,17.4,16.4,16.8,16.9,17,17.1,16.9,17.1,16.9,16.8,17.2,17.5,16.4,18,17.1,18.3,16.8,17.3,17.6,16.7,17,16.4,17.3,17.2,17.2,16.2,15.6,16.7,16.8,15.6,16.5,17.2,16.7,16.6,17,17.1,17.4,16.2,16.2,17.4,16.5,16.2,17.5,17,16.6,16,17.1,16.3,14,11.7,9.57,6.45,6.11,3.43,3.22,1.88,1.16,
09:09:37:342,1.16,1.16,2.04,1.81,3.04,3.81,6.5,10.6,12.6,14.4,15.4,16.5,17.4,16.6,16.3,17.4,16.2,16.6,17,16.9,16.9,18.1,17.2,17.1,15.9,18.5,17.5,16.5,16.3,16.7,16.8,16.8,17.4,16.8,17.6,17.1,17.7,17.2,17.7,17,16.8,18.1,17,17.5,16.9,17,17.5,17.4,17.5,17.2,16.8,17,17.8,16.5,16.6,16.3,17.2,16,17.3,16.9,16.6,17.4,17,17.1,17.1,16.6,16.4,16.8,17.8,18.2,17.4,16.5,16.7,16.9,17,17,16.9,17.1,17,16.6,17.3,17.5,16.3,18.1,17.3,18.2,16.9,17.2,17.6,16.9,17.2,16.5,17.1,17.2,17.2,16.1,15.8,16.7,16.9,15.7,16.6,17.2,16.5,16.6,17,16.9,17.5,16.1,16.2,17.4,16.5,16.5,17.5,17,16.7,16,17.1,16.3,14.1,11.7,9.52,6.45,5.97,3.57,3.27,1.97,1.18,
09:09:37:409,1.03,1.03,1.83,1.86,2.98,3.8,6.38,10.6,12.6,14.6,15.5,16.7,17.4,16.7,16.3,17.5,16.1,16.5,17,16.8,16.3,17.7,17.3,17,15.9,18.2,17.5,16.7,16.4,16.4,16.7,16.9,17.4,16.8,17.6,17.1,17.4,17.2,17.7,17,16.9,18.1,17,17.5,17.3,17,17.5,17.7,17.3,17.2,16.7,17,17.5,17,16.6,16.6,17.4,16.1,17.4,17.1,16.8,17.3,17,17.2,17.3,16.6,16.6,16.8,17.8,18.3,17.4,16.4,16.6,16.7,17,16.9,17,17.2,17.1,16.6,17.3,17.5,16.5,18.1,17.1,18.1,17.3,17.3,17.3,16.8,17.2,16.7,17.1,16.9,17.4,16,16,16.9,16.7,16,16.8,17.3,16.6,16.5,17.1,16.9,17.5,16.1,16.3,17.4,16.4,16.5,17.4,16.7,16.7,16,17,16.1,14,11.7,9.63,6.41,5.91,3.67,3.21,1.91,1.2,
09:09:37:474,1.11,1.11,1.72,1.84,3.05,3.74,6.31,10.6,12.6,14.6,15.6,16.7,17.3,16.8,16.3,17.4,16.1,16.5,17.3,16.7,16.3,17.9,17,16.9,16.3,18.2,17.4,16.5,16.4,16.3,16.9,16.9,17.4,16.8,17.3,17.2,17.6,17.2,17.9,17.1,16.7,17.8,17,17.6,17.3,16.7,17.5,17.8,17.4,17.2,16.6,17,17.4,17.1,16.7,16.7,17.4,16.2,17.5,17,16.9,17.2,17,17.2,17.4,16.5,16.9,16.5,17.8,18.4,17.1,16.5,16.8,16.6,17,16.8,17,17.1,17,16.7,17.5,17.4,16.4,18.1,16.8,18,17.2,17.2,17.4,16.8,17.3,16.7,17.2,16.8,17.4,15.9,16.3,16.8,16.6,15.9,17,16.8,16.8,16.5,17,16.7,17.8,16,16.4,17.4,16.4,16.8,17.4,16.6,16.7,16,17.1,16.1,14.1,12,9.57,6.42,5.99,3.71,3.14,1.96,1.06,
