FFTout-format-1.2.2-localtime.csv,,,Created,05/10/15,Time Zn,UT-4,
,
 KHz
,-984.37500,-968.75000,-953.12500,-937.50000,-921.87500,-906.25000,-890.62500,-875.00000,-859.37500,-843.75000,-828.12500,-812.50000,-796.87500,-781.25000,-765.62500,-750.00000,-734.37500,-718.75000,-703.12500,-687.50000,-671.87500,-656.25000,-640.62500,-625.00000,-609.37500,-593.75000,-578.12500,-562.50000,-546.87500,-531.25000,-515.62500,-500.00000,-484.37500,-468.75000,-453.12500,-437.50000,-421.87500,-406.25000,-390.62500,-375.00000,-359.37500,-343.75000,-328.12500,-312.50000,-296.87500,-281.25000,-265.62500,-250.00000,-234.37500,-218.75000,-203.12500,-187.50000,-171.87500,-156.25000,-140.62500,-125.00000,-109.37500,-93.75000,-78.12500,-62.50000,-46.87500,-31.25000,-15.62500,0.00000,15.62500,31.25000,46.87500,62.50000,78.12500,93.75000,109.37500,125.00000,140.62500,156.25000,171.87500,187.50000,203.12500,218.75000,234.37500,250.00000,265.62500,281.25000,296.87500,312.50000,328.12500,343.75000,359.37500,375.00000,390.62500,406.25000,421.87500,437.50000,453.12500,468.75000,484.37500,500.00000,515.62500,531.25000,546.87500,562.50000,578.12500,593.75000,609.37500,625.00000,640.62500,656.25000,671.87500,687.50000,703.12500,718.75000,734.37500,750.00000,765.62500,781.25000,796.87500,812.50000,828.12500,843.75000,859.37500,875.00000,890.62500,906.25000,921.87500,937.50000,953.12500,968.75000,984.37500
10:35:51:448,0.7161,0.7161,0.7598,1.7833,4.1666,4.9674,7.1393,8.6454,12.4154,14.5914,16.3214,16.0520,16.8553,17.4173,16.6559,16.6871,16.6127,17.0514,15.7566,16.7593,16.4528,17.7727,17.6230,16.8779,16.3334,16.6837,17.2434,15.9864,16.6423,17.9595,16.0674,16.7889,16.2576,17.1515,16.9575,16.3490,16.3334,15.5728,17.1612,17.0383,17.4408,16.1111,16.5016,16.7735,17.2673,17.5160,17.1420,16.5748,16.8247,17.7476,17.2234,17.1345,17.0998,17.5201,17.3791,16.2735,17.7199,18.0595,16.9624,17.0384,16.6703,17.3157,17.4991,17.4298,17.3594,17.2999,17.8187,16.6218,16.6190,17.2293,17.0112,17.0174,18.6240,16.7455,16.9067,16.9445,16.7577,16.3497,15.9653,17.4245,17.9595,17.7953,16.5256,17.0391,17.1284,16.3628,16.8027,17.1300,17.8223,17.0210,16.4821,16.1934,17.5522,16.2834,17.0658,16.3985,15.2714,16.6257,17.0777,17.5282,16.1824,17.4900,16.1707,15.3604,16.6096,16.9161,16.2631,16.2704,17.2268,16.3606,16.8409,17.0988,16.7052,17.0491,16.9185,16.3916,17.4945,15.5282,13.5169,12.1262,8.6289,6.2059,4.8892,2.5250,1.6076,0.8900,0.8116,
10:35:51:512,0.6047,0.6047,0.7475,1.9337,4.1665,4.9823,6.9439,8.7902,12.4332,14.5189,16.3573,15.9893,16.8517,17.3621,16.6632,16.8366,16.5907,17.3304,15.6468,16.6365,16.3428,17.6645,17.6797,16.8644,16.3665,16.5358,17.2588,15.9590,16.6790,17.8436,16.5232,16.8473,16.7273,17.1388,16.9172,16.4889,16.0805,15.5947,17.1064,16.7069,17.4498,16.0480,16.5506,16.8693,17.2285,17.4538,17.1169,16.6252,16.7374,17.9293,17.2014,17.3245,17.0796,17.6180,17.5104,16.2612,17.8170,17.9324,17.0684,17.0805,16.6810,17.2756,17.4080,17.4042,17.4004,17.1146,17.9356,16.7649,16.6619,17.3776,17.0935,17.0196,18.4541,16.6862,17.2352,16.9444,16.6935,16.2826,16.0688,17.4317,18.0322,17.4681,16.3484,17.1619,16.8877,16.3357,16.5810,17.0668,17.8090,16.9911,16.6426,16.4655,17.5769,16.2924,17.1331,16.4491,15.2904,16.2691,17.0104,17.3320,16.1848,17.3236,16.0736,15.6274,16.7088,16.9921,16.3854,16.3154,17.2098,16.2628,16.6973,17.0794,16.6529,16.9038,16.8906,16.4142,17.5230,15.2313,13.4030,12.3823,8.5250,6.1359,4.6144,2.5707,1.4743,0.7721,0.6777,
10:35:51:579,0.6113,0.6113,0.8951,1.7776,4.2087,4.7748,7.0178,8.6299,12.5053,14.3733,16.3879,16.0423,16.8519,17.4551,16.6718,16.8087,16.6077,17.1571,15.9402,16.7369,16.3553,17.6057,17.6629,16.7975,16.6512,16.6610,17.3075,16.0066,16.7472,17.7679,16.6079,16.9631,16.5788,16.9738,16.8283,16.4842,16.0379,15.7142,17.2144,16.5738,17.4889,16.1596,16.5128,17.0592,17.2118,17.3619,17.1506,16.6622,16.6971,17.9790,17.1037,17.2798,17.1602,17.6976,17.5671,16.1664,17.7653,17.8287,17.0227,17.0874,16.7505,16.9448,17.3975,17.4626,17.5267,16.9703,17.8407,16.9782,16.8854,17.1948,17.0210,17.1621,18.3639,16.8023,17.3513,16.7492,16.8003,16.0053,15.9718,17.3229,17.8071,17.4135,16.4213,16.9255,16.8685,16.3752,16.4201,17.2346,17.6119,16.8886,16.4672,16.3867,17.6202,16.4235,17.0734,16.2969,15.0260,16.5411,16.9800,17.3243,16.0408,17.0262,16.0896,15.7793,16.7836,16.8832,16.4025,16.3072,17.1240,16.1522,16.6709,17.1283,16.4417,16.8917,16.9016,16.4581,17.7529,15.1677,13.7409,12.4043,8.4760,6.0267,4.5833,2.3839,1.2169,0.7852,0.7579,
10:35:51:645,0.4964,0.4964,0.7198,1.7132,4.0631,4.9105,7.0610,8.6876,12.3554,14.4283,16.1626,15.8683,16.7828,17.3792,16.6678,16.8282,16.4505,17.2391,15.9289,16.7496,16.4486,17.4886,17.7289,16.8849,16.4750,16.6596,17.2593,15.9212,16.7143,17.7132,16.8817,16.8763,16.6475,17.1082,16.7274,16.0519,16.2374,15.9828,16.8348,16.4525,17.3001,16.2090,16.5745,17.2692,17.2517,17.1730,17.2016,16.8053,16.5377,17.8863,17.0962,17.2818,17.1711,17.6033,17.5487,16.1335,17.6859,17.8662,16.9032,17.0855,16.4686,16.7085,17.4070,17.4293,17.4515,17.0673,17.8643,17.0204,16.9203,17.2020,17.0883,17.0866,18.3353,16.9202,17.2011,16.9687,16.8677,15.6220,15.9557,17.2376,17.7739,17.4833,16.5701,16.6865,16.8657,16.3184,16.3357,17.4501,17.6645,16.8076,16.3279,16.4477,17.7910,16.4922,16.9580,16.5009,15.0360,16.5062,17.1658,17.2815,16.1345,17.0034,16.0513,15.7891,16.7160,16.7129,16.2037,16.4400,17.1884,16.1774,16.7654,17.1852,16.8009,16.7392,16.5989,16.7434,17.7571,15.2576,13.7075,12.3451,8.7897,6.2517,4.3847,2.7451,1.2329,0.8215,0.7712,
10:35:51:714,0.5373,0.5373,0.8396,1.6983,4.0211,4.9665,7.0252,8.8391,12.4904,14.5809,16.1099,15.9000,16.6175,17.3343,16.6014,16.7651,16.4226,17.1657,15.8897,16.6935,16.5142,17.6231,17.7577,16.9488,16.4099,16.6837,16.9485,15.6759,16.6956,17.7411,16.9288,16.6447,16.8699,17.0980,16.7827,16.0124,16.0172,15.9372,16.7742,16.5580,17.3024,16.2231,16.8264,17.3249,17.4528,17.1471,16.9650,16.8116,16.5901,17.7864,17.0341,17.2396,17.1712,17.6947,17.6025,16.2434,17.4378,17.8412,16.8966,17.1437,16.6181,16.7342,17.4351,17.4514,17.4677,17.0228,17.8842,17.0524,16.8721,16.7816,17.0053,17.2342,18.3426,16.8936,17.5421,17.0561,16.9647,15.7373,15.8724,17.2772,17.8886,17.5751,16.4037,16.6460,16.8447,16.3549,16.2368,17.3956,17.6740,17.0325,16.1452,16.4958,17.6972,16.2970,17.2322,16.6127,15.0054,16.3698,17.1380,17.3662,15.9725,16.7966,16.1498,15.7738,16.8802,16.7517,16.1727,16.3501,17.1936,16.2629,16.7311,17.1348,16.7196,16.7746,16.5720,16.8270,17.7526,15.3756,13.6187,12.3908,8.8261,6.2336,4.5018,2.7435,1.3692,0.9919,0.7972,
