### Module positions - created on 10/22/2013 6:27:08 PM ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
C36      100NF_0402       C_SM0402          156.1000  -130.5250       0.0    B.Cu
C37      10UF_0603        C_SM0603          162.5000  -124.4000      90.0    B.Cu
C38      100NF_0402       C_SM0402          161.2000  -124.6000      90.0    B.Cu
C39      100NF_0402       C_SM0402          168.3750  -125.6000     270.0    B.Cu
C41      2.2UF_0402       C_SM0402          155.5100   -72.2600     180.0    B.Cu
FB1      FB_600OHM@100MHZ R_SM0402          126.6000  -132.0000     270.0    B.Cu
FB2      FB_60OHM@100MHZ  R_SM0805          160.2500   -70.1100     180.0    B.Cu
Fiducial VAL**            Fiducial          100.0000  -132.6500       0.0    B.Cu
Fiducial VAL**            Fiducial          100.1250   -59.0250       0.0    B.Cu
Fiducial VAL**            Fiducial          163.9750   -56.8750       0.0    B.Cu
J3       ASP-122952-01_(H HSMC               91.7150   -95.0652     270.0    B.Cu
J4       ASP-134604-01    FMC               184.0000   -95.0000      90.0    B.Cu
R1       2K2_0603         SM0603            139.5200  -108.5300     270.0    B.Cu
R2       0R_0603          SM0603            143.4000   -99.8000     180.0    B.Cu
R4       22R_0402         R_SM0402          160.7000  -122.0000     180.0    B.Cu
R5       0R_0603_NF       SM0603            143.4000   -97.6000     180.0    B.Cu
R6       22R_0402         R_SM0402          159.9300  -123.3800     180.0    B.Cu
R8       0R_0603          SM0603            148.1300   -89.2700     270.0    B.Cu
R9       0R_0603          SM0603            146.3500   -87.6700     270.0    B.Cu
R10      0R_0603          SM0603            138.3500   -87.0500     270.0    B.Cu
R11      0R_0603          SM0603            136.6000   -88.7000     270.0    B.Cu
R12      2K2_0603         SM0603            145.7100   -82.7100       0.0    B.Cu
R13      2K2_0603         SM0603            145.7400   -84.4200       0.0    B.Cu
R23      470R_0402        R_SM0402          168.5500  -123.8500       0.0    B.Cu
R24      0R_0402_NF       R_SM0402          145.5000  -123.4250     270.0    B.Cu
R25      RA               R_array           172.7500   -91.0000     270.0    B.Cu
R26      RA               R_array           172.7500   -87.0000     270.0    B.Cu
R27      RA               R_array           172.7500   -83.7500     270.0    B.Cu
R28      22R_0402         R_SM0402          172.7500   -81.5000       0.0    B.Cu
R29      RA               R_array           172.7500  -108.2500     270.0    B.Cu
R30      RA               R_array           172.7500  -104.5000     270.0    B.Cu
R31      RA               R_array           172.7500  -100.7500     270.0    B.Cu
R32      22R_0402         R_SM0402          172.7500   -98.2500       0.0    B.Cu
R33      10R_0402         R_SM0402          123.6000  -124.0000     270.0    B.Cu
R34      1K_0402          R_SM0402          120.2000  -129.6000       0.0    B.Cu
R35      470R_0402        R_SM0402          125.6000  -124.0000      90.0    B.Cu
R36      470R_0402        R_SM0402          120.2000  -127.4000     180.0    B.Cu
R37      10K_0402         R_SM0402          124.6000  -124.0000      90.0    B.Cu
R38      330R_0402        R_SM0402          129.9100  -126.1800       0.0    B.Cu
R40      10K_0402         R_SM0402          120.2000  -128.4000     180.0    B.Cu
R41      0R_0805_NF       R_SM0805          119.9000  -116.9000      90.0    B.Cu
R42      RA               R_array           112.5000  -100.5000      90.0    B.Cu
R43      RA               R_array           112.5000  -104.0000      90.0    B.Cu
R44      RA               R_array           112.5000  -107.2500      90.0    B.Cu
R45      22R_0402         R_SM0402          112.5000  -109.4250     180.0    B.Cu
R46      RA               R_array           112.5000   -83.5000      90.0    B.Cu
R47      RA               R_array           112.5000   -87.0000      90.0    B.Cu
R48      RA               R_array           112.5000   -90.2500      90.0    B.Cu
R49      22R_0402         R_SM0402          112.5000   -92.4250     180.0    B.Cu
R51      33K_0402         R_SM0402          153.8000  -123.0000       0.0    B.Cu
R52      0R_0402_NF       R_SM0402          144.4000  -123.4000     270.0    B.Cu
R53      0R_0402_NF       R_SM0402          143.4000  -123.4000     270.0    B.Cu
R54      0R_0402_NF       R_SM0402          142.4000  -123.4000     270.0    B.Cu
R55      0R_0402_NF       R_SM0402          141.4000  -123.4000     270.0    B.Cu
