### Module positions - created on 10/11/2012 5:32:26 PM ###
### Printed by Pcbnew version pcbnew (2012-08-04 BZR 3667)-testing
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
R52      0                SM0603             29.3014    50.8483       0.0    Front
R53      0                SM0603             36.0020    54.5490       0.0    Front
R54      0                SM0603             36.0020    53.1495       0.0    Front
R55      10K              SM0603             17.8511    54.9986     180.0    Front
R56      0                SM0603             19.4005    56.8503      90.0    Front
R57      2K2              SM0603             23.6017    48.6486     270.0    Front
R58      2K2              SM0603             21.6002    48.6486     270.0    Front
R59      0                SM0603             26.2001    56.0502     180.0    Front
R60      0                SM0603             31.4503    55.1485      90.0    Front
R61      0                SM0603             31.4503    52.8498     270.0    Front
R62      0                SM0603             17.5997    36.4490     180.0    Front
R63      0                SM0603             29.3014    49.6494       0.0    Front
R64      2K2              SM0603             28.5013    56.0502       0.0    Front
R65      2K2              SM0603             32.7000    55.1485      90.0    Front
R66      2K2              SM0603             32.7000    52.8498     270.0    Front
U1       CY7C68013A-56QFN QFN56              20.9017    24.5008      90.0    Front
U2       LDO1117          SOT223             32.8016    11.2497      90.0    Front
U3       24LC128SN        SO-08              27.2517    66.2788       0.0    Front
U4       SN74LVC1G04DBVR  SOT23-5            56.7995    51.8897     180.0    Front
U5       SN74LVC1G04DBVR  SOT23-5            60.0964    51.8897     180.0    Front
U6       CDCV304PW        TSSOP-8            68.0009    54.2011     180.0    Front
U7       SN74LVC1G04DBVR  SOT23-5            61.0210    72.3925       0.0    Front
U8       SI5356           QFN24              63.7972    60.1040     180.0    Front
U9       RACON_TXCO       SMD_TXCO           77.4700    53.8429      90.0    Front
U10      LDO1117          SOT223             89.7001    56.1035      90.0    Front
U11      SC18IS602B       TSSOP16            24.0005    52.6999     270.0    Front
## End
