### Module positions - created on 5/31/2013 12:12:40 PM ###
### Printed by Pcbnew version pcbnew (2013-03-19 BZR 4004)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
R73      10K              R_SM0402          153.8000   -92.5000     180.0    Front.Cu
R74      10K              R_SM0402          153.8000   -89.3000     180.0    Front.Cu
R75      470              R_SM0402          120.5000   -77.7500       0.0    Front.Cu
R76      470              R_SM0402          120.5000   -76.1000       0.0    Front.Cu
R77      470              R_SM0402          120.5000   -74.4500       0.0    Front.Cu
R78      470              R_SM0402          111.2000   -77.7500     180.0    Front.Cu
R79      10               R_SM0402          115.8000  -109.6750      90.0    Front.Cu
R93      1K               R_SM0402          118.0600  -115.6600       0.0    Front.Cu
R101     0                R_SM0402          114.4500  -107.6000     180.0    Front.Cu
R106     22               R_SM0402          132.8000   -92.2000       0.0    Front.Cu
R107     22               R_SM0402          132.8000   -91.4000       0.0    Front.Cu
R108     22               R_SM0402          132.8000   -90.6000       0.0    Front.Cu
R109     22               R_SM0402          132.8000   -89.8000       0.0    Front.Cu
R110     22               R_SM0402          132.8000   -88.9000       0.0    Front.Cu
R111     22               R_SM0402          132.8000   -88.1000       0.0    Front.Cu
R112     22               R_SM0402          132.8000   -87.3000       0.0    Front.Cu
R113     22               R_SM0402          132.8000   -86.5000       0.0    Front.Cu
R114     22               R_SM0402          132.8000   -85.7000       0.0    Front.Cu
R115     22               R_SM0402          132.8000   -84.9000       0.0    Front.Cu
R116     0                R_SM0402          132.8000   -97.0000     180.0    Front.Cu
R117     0                R_SM0402          132.8000   -96.2000     180.0    Front.Cu
R118     0                R_SM0402          132.8000   -95.4000     180.0    Front.Cu
R119     0                R_SM0402          132.8000   -94.6000     180.0    Front.Cu
R120     0                R_SM0402          132.8000   -93.8000     180.0    Front.Cu
R121     0                R_SM0402          132.8000   -93.0000     180.0    Front.Cu
R126     0                R_SM0402          148.8000   -80.6000     270.0    Front.Cu
R127     0                R_SM0402          148.0000   -80.6000     270.0    Front.Cu
R128     470              R_SM0402          111.2000   -74.4500     180.0    Front.Cu
R129     470              R_SM0402          111.2000   -76.1000     180.0    Front.Cu
R130     470              R_SM0402          112.0000  -107.6000     180.0    Front.Cu
R131     330              R_SM0402          111.1000  -109.1500       0.0    Front.Cu
R132     0                R_SM0805          135.2250   -80.3750     270.0    Front.Cu
R133     0                R_SM0805          132.6250   -80.3750     270.0    Front.Cu
R134     10K              R_SM0402          111.2100   -83.5800       0.0    Front.Cu
R135     0                R_SM0805          122.1000  -126.8500      90.0    Front.Cu
R136     4.7K             R_SM0402          161.4000  -112.5700      90.0    Front.Cu
R137     4.7K             R_SM0402          160.7000   -83.9750     270.0    Front.Cu
SW1      T_SWITCH         SW_B3U-1000P      113.5500   -80.9200     180.0    Front.Cu
SW2      T_SWITCH         SW_B3U-1000P      119.1200   -80.9800       0.0    Front.Cu
TCXO1/2  RACON_TXCO       SMD_TXCO          115.8000  -125.6000     180.0    Front.Cu
TCXO2    RACON_TXCO_PLUTO SMD_TXCO_Pluto+   115.8000  -125.6000       0.0    Front.Cu
TP5      TP               TP                111.0500  -125.6000       0.0    Front.Cu
U1       CYUSB3011        FBGA_121_Ball_10  146.0000  -108.0000     180.0    Front.Cu
U2       CYUSB3011        FBGA_121_Ball_10  146.0000   -88.0000     180.0    Front.Cu
U3       SP3010-04UTG     uDFN-10           136.5500  -122.2000     180.0    Front.Cu
U5       SP3010-04UTG     uDFN-10           157.6000  -122.2000     180.0    Front.Cu
U16      ADF4002          20Lead_LFCSP_VQ   114.9500  -113.7500       0.0    Front.Cu
Via_3_2  Val**            Via_3_2           117.8750  -107.4250       0.0    Front.Cu
X1       FX10B-80S/8-SV   SMD_FX10B-80S_8_  126.0000   -98.5600      90.0    Front.Cu
X2       CONN_2X4         TH_PINHD-4X2_V    113.7000   -89.4000     270.0    Front.Cu
X4       MINI-USB3110-30- SMD_USB3110       133.2000  -125.4000       0.0    Front.Cu
X5       MINI-USB3110-30- SMD_USB3110       154.3000  -125.4000       0.0    Front.Cu
X7       SMA              SMA               110.2500  -101.2000       0.0    Front.Cu
C1       0.1uF            C_SM0402          124.8500  -127.6000     270.0    Back.Cu
C2       0.1uF            C_SM0402          160.3500  -126.5000     180.0    Back.Cu
C3       0.1uF            C_SM0402          166.9200   -99.8400      90.0    Back.Cu
C4       0.1uF            C_SM0402          163.0500   -97.0500     270.0    Back.Cu
C7       13pF             C_SM0402          131.8500  -106.6000       0.0    Back.Cu
C8       13pF             C_SM0402          132.7500   -98.9500       0.0    Back.Cu
C9       13pF             C_SM0402          157.5100   -92.0300     270.0    Back.Cu
C10      13pF             C_SM0402          153.1700   -95.4900     270.0    Back.Cu
C17      4.7uF            C_TANT_SM0603     149.7000  -122.5000      90.0    Back.Cu
C18      0.1uF            C_SM0201          140.2000   -85.8500     180.0    Back.Cu
C19      0.1uF            C_SM0201          151.3000  -111.2000       0.0    Back.Cu
C20      0.1uF            C_SM0201          140.2300   -88.2300     180.0    Back.Cu
C21      0.1uF            C_SM0201          148.6000  -113.7500     270.0    Back.Cu
C22      1uF              C_SM0402          141.6500  -128.1000     270.0    Back.Cu
C23      0.1uF            C_SM0201          141.0000  -103.2000     180.0    Back.Cu
C24      10nF             C_SM0201          151.4300   -91.2600       0.0    Back.Cu
C25      0.1uF            C_SM0201          140.4000  -108.0000     180.0    Back.Cu
C26      2.2uF            C_SM0603          146.9700   -94.0500     270.0    Back.Cu
C27      1uF              C_SM0402          142.5500  -128.1000     270.0    Back.Cu
C28      0.1uF            C_SM0201          140.2000   -84.8750     180.0    Back.Cu
C29      560pF            C_SM0402          141.4500  -120.8000     180.0    Back.Cu
C30      10nF             C_SM0201          143.5500   -82.3900      90.0    Back.Cu
C31      0.1uF            C_SM0201          140.1000   -90.4000     180.0    Back.Cu
C32      0.1uF            C_SM0201          149.5800  -113.4500       0.0    Back.Cu
C33      10nF             C_SM0201          143.6750   -91.1500     270.0    Back.Cu
C34      4.7uF            C_TANT_SM0603     144.3500  -128.3500     270.0    Back.Cu
C35      10nF             C_SM0201          140.4000  -110.3000     180.0    Back.Cu
C36      2.2uF            C_SM0603          149.8000   -95.4000     270.0    Back.Cu
C37      10nF             C_SM0201          140.4000  -111.7000     180.0    Back.Cu
C38      0.1uF            C_SM0201          151.4400   -87.8600       0.0    Back.Cu
C39      0.1uF            C_SM0201          145.7800   -83.0300      90.0    Back.Cu
C40      10nF             C_SM0201          151.3000  -108.0000       0.0    Back.Cu
C41      0.1uF            C_SM0201          140.4000  -109.0000     180.0    Back.Cu
C42      0.1uF            C_SM0201          146.0000  -102.5000      90.0    Back.Cu
C43      0.1uF            C_SM0201          148.4400   -94.7000     180.0    Back.Cu
C44      10nF             C_SM0201          140.3000   -89.1300     180.0    Back.Cu
C45      10nF             C_SM0201          151.5000   -86.0000       0.0    Back.Cu
C46      2.2uF            C_SM0603          144.7600  -113.5400     180.0    Back.Cu
C47      0.1uF            C_SM0201          151.4400   -88.6300       0.0    Back.Cu
C48      0.1uF            C_SM0201          151.3000  -110.4500       0.0    Back.Cu
C49      10nF             C_SM0201          151.3000  -108.9000       0.0    Back.Cu
C50      10uF             C_SM0603          151.8000  -116.6000     180.0    Back.Cu
C51      10nF             C_SM0201          151.3000  -106.4000       0.0    Back.Cu
C52      10uF             C_SM0603          139.9000  -122.7000      90.0    Back.Cu
C55      0.1uF            C_SM0402          111.0500  -115.4500     270.0    Back.Cu
C56      0.1uF            C_SM0402          111.2500  -111.8000      90.0    Back.Cu
C57      0.1uF            C_SM0402          115.9000  -110.5500       0.0    Back.Cu
C58      0.1uF            C_SM0402          118.7500  -113.0000       0.0    Back.Cu
C59      0.1uF            C_SM0402          120.6000  -119.1500      90.0    Back.Cu
C60      0.1uF            C_SM0402          118.3000  -115.4500     270.0    Back.Cu
Fiducial VAL**            Fiducial          123.8000   -69.7000       0.0    Back.Cu
Fiducial VAL**            Fiducial          134.2000  -127.7500       0.0    Back.Cu
Fiducial VAL**            Fiducial          163.0000   -72.2000       0.0    Back.Cu
Q1       19.2MHz          SM_XO             133.3800  -102.9100     270.0    Back.Cu
Q2       19.2MHz          SM_XO             156.4000   -96.3300      90.0    Back.Cu
Q3       MMBT3904         SOT23             165.0000  -127.7250     270.0    Back.Cu
R50      100K             R_SM0402          165.6250   -96.1250     270.0    Back.Cu
R51      100K             R_SM0402          164.3500  -100.7700      90.0    Back.Cu
R53      220R/100MHz      RL_SM0805         123.1900  -127.1000     270.0    Back.Cu
R54      220R/100MHz      RL_SM0805         159.9000  -124.4000     270.0    Back.Cu
R55      100K             R_SM0402          163.0900  -100.7700      90.0    Back.Cu
R56      100K             R_SM0402          166.9000   -96.1250     270.0    Back.Cu
R57      220R/100MHz      RL_SM0805         129.2000  -127.7000       0.0    Back.Cu
